q,beta,hm0,h,tm-10_toe,bt,ht,gama_f,cotad,cotau,hb,rc,b,tanb,ac,gc
0,0,0.081230769,0.326153846,1.780462446,0.184615385,0.218461538,0.55,1.333333333,1.333333333,0,0.273846154,0,0,0.215384615,0.076923077
0.000203,0,0.152307692,0.326153846,1.51422507,0.184615385,0.218461538,0.55,1.333333333,1.333333333,0,0.273846154,0,0,0.215384615,0.076923077
0.000718,0,0.187076923,0.326153846,1.913581133,0.184615385,0.218461538,0.55,1.333333333,1.333333333,0,0.273846154,0,0,0.215384615,0.076923077
0,0,0.078461538,0.326153846,1.780462446,0.184615385,0.218461538,0.55,1.5,1.5,0,0.304615385,0,0,0.224615385,0.276923077
0.0000184,0,0.152307692,0.326153846,1.51422507,0.184615385,0.218461538,0.55,1.5,1.5,0,0.304615385,0,0,0.224615385,0.276923077
0.0000815,0,0.187076923,0.326153846,1.930220969,0.184615385,0.218461538,0.55,1.5,1.5,0,0.304615385,0,0,0.224615385,0.276923077
0.0000081,0,0.152307692,0.326153846,1.51422507,0.184615385,0.218461538,0.55,1.5,1.5,0,0.335384615,0,0,0.224615385,0.276923077
0.0000394,0,0.187076923,0.326153846,1.930220969,0.184615385,0.218461538,0.55,1.5,1.5,0,0.335384615,0,0,0.224615385,0.276923077
0.0000081,0,0.152307692,0.326153846,1.51422507,0.184615385,0.218461538,0.55,1.5,1.5,0,0.304615385,0,0,0.224615385,0.323076923
0.0000351,0,0.187076923,0.326153846,1.930220969,0.184615385,0.218461538,0.55,1.5,1.5,0,0.304615385,0,0,0.224615385,0.323076923
0.000000167,0,0.097484277,0.178616352,1.160716749,0.172955975,0.103144654,0.46,1.5,1.5,0,0.19245283,0,0,0.214465409,0.094339623
0.000000335,0,0.106918239,0.178616352,1.199407307,0.172955975,0.103144654,0.46,1.5,1.5,0,0.19245283,0,0,0.214465409,0.094339623
0.0000151,0,0.125786164,0.21163522,1.238097866,0.172955975,0.136163522,0.46,1.5,1.5,0,0.159433962,0,0,0.181446541,0.094339623
0.0000485,0,0.132075472,0.219811321,1.257443145,0.172955975,0.144339623,0.46,1.5,1.5,0,0.151257862,0,0,0.17327044,0.094339623
0.000000279,0,0.125786164,0.21163522,1.238097866,0.172955975,0.136163522,0.46,1.5,1.5,0,0.159433962,0,0,0.181446541,0.393081761
0.00000217,0,0.132075472,0.219811321,1.257443145,0.172955975,0.144339623,0.46,1.5,1.5,0,0.151257862,0,0,0.17327044,0.393081761
0.000000112,0,0.097484277,0.178616352,1.160716749,0.172955975,0.103144654,0.46,1.5,1.5,0,0.183018868,0,0,0.183018868,0.393081761
0.000000112,0,0.106918239,0.178616352,1.199407307,0.172955975,0.103144654,0.46,1.5,1.5,0,0.183018868,0,0,0.183018868,0.393081761
0.0000034,0,0.125786164,0.21163522,1.238097866,0.172955975,0.136163522,0.46,1.5,1.5,0,0.15,0,0,0.15,0.393081761
0.0000251,0,0.132075472,0.219811321,1.257443145,0.172955975,0.144339623,0.46,1.5,1.5,0,0.141823899,0,0,0.141823899,0.393081761
0.000000446,0,0.097484277,0.178616352,1.160716749,0.172955975,0.103144654,0.46,1.5,1.5,0,0.183018868,0,0,0.183018868,0.094339623
0.00000257,0,0.106918239,0.178616352,1.199407307,0.172955975,0.103144654,0.46,1.5,1.5,0,0.183018868,0,0,0.183018868,0.094339623
0.0000669,0,0.125786164,0.21163522,1.238097866,0.172955975,0.136163522,0.46,1.5,1.5,0,0.15,0,0,0.15,0.094339623
0.000173,0,0.132075472,0.219811321,1.257443145,0.172955975,0.144339623,0.46,1.5,1.5,0,0.141823899,0,0,0.141823899,0.094339623
0,0,0.067251462,0.166081871,0.951361745,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.084795322,0.166081871,1.044632504,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.070175439,0.166081871,1.0073242,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,30,0.078947368,0.166081871,0.970015897,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,30,0.064327485,0.166081871,0.895399289,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.076023392,0.188011696,1.0073242,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.090643275,0.188011696,1.063286656,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.081871345,0.188011696,1.025978352,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,30,0.081871345,0.188011696,1.0073242,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,30,0.076023392,0.188011696,0.970015897,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.108187135,0.196783626,1.10059496,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,0,0.114035088,0.196783626,1.212519871,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0.00000035,0,0.102339181,0.196783626,1.137903263,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,30,0.099415205,0.196783626,1.137903263,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,30,0.090643275,0.196783626,1.137903263,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,0,0.108187135,0.204385965,1.119249111,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,0,0.119883041,0.204385965,1.231174023,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.0000007,0,0.105263158,0.204385965,1.156557415,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.000000195,30,0.102339181,0.204385965,1.156557415,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,30,0.093567251,0.204385965,1.175211567,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,0,0.064327485,0.166081871,1.025978352,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.078947368,0.166081871,1.044632504,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.078947368,0.166081871,1.025978352,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
